Date,Civil Twilight Start,Sunrise,Sunset,Civil Twilight End 
09-26,,6:53,18:51,
09-27,,6:54,18:49,
09-28,,6:55,18:47,
09-29,,6:57,18:45,
09-30,,6:58,18:43,
10-01,,6:59,18:41,
10-02,,7:01,18:39,
10-03,,7:02,18:37,
10-04,,7:04,18:35,
10-05,,7:05,18:33,
10-09,,7:11,18:25,
10-10,,7:12,18:23,
10-11,,7:13,18:21,
10-12,,7:15,18:19,
10-13,,7:16,18:17,
10-14,,7:18,18:15,
10-15,,7:19,18:14,
10-16,,7:21,18:12,
10-17,,7:22,18:10,
10-18,,7:24,18:08,
10-23,,7:31,17:59,
10-24,,7:32,17:57,
10-25,,7:34,17:55,
10-26,,7:35,17:54,
10-27,,7:37,17:52,
10-28,,7:38,17:50,
10-29,,7:40,17:49,
10-30,,7:41,17:47,
10-31,,7:43,17:46,
11-1,,7:44,17:44,
