Trial,Enclosure,Treatment,Snail ,Stage ,Date,Time,x_cm,y_cm,xUTM,yUTM,Temperature,Precipitation,Notes
1,2A,2,P12a,Acc,2019-09-26,18:30,,,,,15,yes,
1,2A,2,P12a,Acc,2019-09-26,19:00,14.49,38.64,370208,5268531,14,yes,
1,2A,2,P12a,Acc,2019-09-26,19:30,38.16,49.03,370232,5268541,13,yes,
1,2A,2,P12a,Acc,2019-09-26,20:00,41.32,65,370235,5268557,13,yes,on side
1,2A,2,P12a,Acc,2019-09-26,20:30,65,63.3,370259,5268555,12,yes,
1,2A,2,P12a,Acc,2019-09-26,21:00,65,21.82,370259,5268514,12,yes,
1,2A,2,P12a,Acc,2019-09-26,21:30,,,,,12,yes,out of frame
1,2A,2,P12a,Acc,2019-09-26,22:00,,,,,12,yes,out of frame
1,2A,2,P12a,Acc,2019-09-26,22:30,,,,,12,yes,out of frame
1,2A,2,P12a,Acc,2019-09-26,23:00,,,,,12,yes,out of frame
1,2A,2,P12a,Acc,2019-09-26,23:30,65,17.73,370259,5268510,12,yes,
1,2A,2,P12a,Acc,2019-09-27,0:00,65,41.61,370259,5268534,12,yes,
1,2A,2,P12a,Acc,2019-09-27,0:30,65,50.61,370259,5268543,12,yes,
1,2A,2,P12a,Acc,2019-09-27,1:00,65,65,370259,5268557,12,yes,on side
1,2A,2,P12a,Acc,2019-09-27,1:30,65,62.6,370259,5268555,12,yes,
1,2A,2,P12a,Acc,2019-09-27,2:00,65,65,370259,5268557,12,yes,on side
1,2A,2,P12a,Acc,2019-09-27,2:30,65,65,370259,5268557,12,yes,on side
1,2A,2,P12a,Acc,2019-09-27,3:00,61.19,65,370255,5268557,11,yes,
1,2A,2,P12a,Acc,2019-09-27,3:30,27.78,65,370222,5268557,11,yes,
1,2A,2,P12a,Acc,2019-09-27,4:00,14.12,65,370208,5268557,11,yes,
1,2A,2,P12a,Acc,2019-09-27,4:30,26.09,34.54,370220,5268527,11,yes,
1,2A,2,P12a,Acc,2019-09-27,5:00,32.96,16.71,370227,5268509,11,yes,
1,2A,2,P12a,Acc,2019-09-27,5:30,44.76,0,370239,5268492,11,no,
1,2A,2,P12a,Acc,2019-09-27,6:00,51.44,0,370245,5268492,11,no,
1,2A,2,P12a,Acc,2019-09-27,6:30,39.46,22.66,370233,5268515,11,no,
1,2A,2,P12a,Acc,2019-09-27,7:00,48.01,24.7,370242,5268517,12,no,
1,2A,2,P12a,Acc,2019-09-27,7:30,65,37.23,370259,5268529,11,no,
1,2A,2,P12a,Acc,2019-09-27,8:00,62.2,37.43,370256,5268529,11,no,
1,2A,2,P12a,Acc,2019-09-27,8:30,62.2,37.43,370256,5268529,12,no,
1,2A,2,P12a,Acc,2019-09-27,9:00,62.2,37.43,370256,5268529,12,no,
1,2A,2,P12a,Acc,2019-09-27,9:30,62.2,37.43,370256,5268529,12,no,
1,2A,2,P12a,Acc,2019-09-27,10:00,62.2,37.43,370256,5268529,13,no,
1,2A,2,P12a,Acc,2019-09-27,10:30,62.2,37.43,370256,5268529,14,yes,
1,2A,2,P12a,Acc,2019-09-27,11:00,62.2,37.43,370256,5268529,15,yes,
1,2A,2,P12a,Acc,2019-09-27,11:30,62.2,37.43,370256,5268529,15,yes,
1,2A,2,P12a,Acc,2019-09-27,12:00,62.2,37.43,370256,5268529,17,yes,
1,2A,2,P12a,Acc,2019-09-27,12:30,62.2,37.43,370256,5268529,17,no,
1,2A,2,P12a,Acc,2019-09-27,13:00,62.2,37.43,370256,5268529,17,no,
1,2A,2,P12a,Acc,2019-09-27,13:30,62.2,37.43,370256,5268529,17,no,
1,2A,2,P12a,Acc,2019-09-27,14:00,62.2,37.43,370256,5268529,17,no,
1,2A,2,P12a,Acc,2019-09-27,14:30,62.2,37.43,370256,5268529,16,no,
1,2A,2,P12a,Acc,2019-09-27,15:00,62.2,37.43,370256,5268529,16,no,
1,2A,2,P12a,Acc,2019-09-27,15:30,62.2,37.43,370256,5268529,17,no,
1,2A,2,P12a,Acc,2019-09-27,16:00,62.2,37.43,370256,5268529,16,no,
1,2A,2,P12a,Acc,2019-09-27,16:30,62.2,37.43,370256,5268529,16,no,
1,2A,2,P12a,Acc,2019-09-27,17:00,62.2,37.43,370256,5268529,15,no,
1,2A,2,P12a,Acc,2019-09-27,17:30,62.2,37.43,370256,5268529,15,no,
1,2A,2,P12a,Acc,2019-09-27,18:00,62.2,37.43,370256,5268529,15,no,
1,2A,2,P12a,B,2019-09-27,18:30,62.2,37.43,370256,5268529,14,yes,
1,2A,2,P12a,B,2019-09-27,19:00,62.2,37.43,370256,5268529,14,yes,
1,2A,2,P12a,B,2019-09-27,19:30,62.2,37.43,370256,5268529,13,yes,
1,2A,2,P12a,B,2019-09-27,20:00,61.28,36.22,370255,5268528,13,yes,
1,2A,2,P12a,B,2019-09-27,20:30,65,11.7,370259,5268504,13,yes,
1,2A,2,P12a,B,2019-09-27,21:00,,,,,13,yes,out of frame
1,2A,2,P12a,B,2019-09-27,21:30,,,,,13,yes,out of frame
1,2A,2,P12a,B,2019-09-27,22:00,,,,,13,yes,out of frame
1,2A,2,P12a,B,2019-09-27,22:30,,,,,13,yes,out of frame
